team1,team2,team1_score,team2_score,match_date,match_time
Phoenix1,mSpaz,13,5,N/A,12:00 PM
Elysium,TradeLikePros,13,4,N/A,12:00 PM
PROJEKT RADIANT,DREAMLAND,10,13,N/A,12:00 PM
Kungarna,Iconic,13,2,N/A,12:00 PM
Penguin Sledding,Prism Esports,7,13,N/A,12:00 PM
ROX TEAM,CrowСrowd,0,2,N/A,11:45 AM
Tale Quale,Eloquence,2,0,N/A,11:30 AM
komand04ka,Team Empire,0,2,N/A,11:30 AM
GMT Esports,+W party,2,0,N/A,11:30 AM
Aim.Attack,Tale Quale,1,2,N/A,9:00 AM
Lankräm,Eloquence,0,2,N/A,9:00 AM
Outlaws,komand04ka,1,2,N/A,9:00 AM
Team Empire,Invicta,2,1,N/A,9:00 AM
GMT Esports,AoeXe,2,0,N/A,9:00 AM
+W party,LANCHILLERS,2,1,N/A,9:00 AM
Omni,ROX TEAM,1,2,N/A,9:00 AM
EWAVE ESPORTS,CrowСrowd,0,2,N/A,9:00 AM
TUBEPLE Gaming,Attack All Around,1,2,N/A,8:00 AM
Team SMG,MiTH.Attitude,13,7,N/A,6:45 AM
DreamSeller,NXL LIGAGAME,10,13,N/A,5:30 AM
XTZ Esports,FFQ,1,2,N/A,5:00 AM
DivisionX Gaming,Team SHIFT,8,13,N/A,4:15 AM
Sharper Esport,Attack All Around,10,13,N/A,3:00 AM
Fox Gaming,One Shot Esports,2,0,N/A,3:00 PM
Mustang Gaming,Exality,2,0,N/A,1:00 PM
FUT Esports,Dark Passage,2,0,N/A,12:15 PM
Dark Passage,Sangal Esports,2,0,N/A,10:00 AM
Team SMG,Team SHIFT,13,7,N/A,6:45 AM
MiTH.Attitude,DreamSeller,6,13,N/A,5:30 AM
Attack All Around,DivisionX Gaming,13,3,N/A,4:15 AM
Sharper Esport,NXL LIGAGAME,10,13,N/A,3:00 AM
FUT Esports,Anatolia Esports,2,1,N/A,8:00 AM
Velocity Gaming,Global Esports,0,0,N/A,6:30 AM
Global Esports,GodLike Esports,0,0,N/A,1:30 AM
FTW Esports,Arctic,2,1,N/A,2:00 PM
9z Team,HARD Esports,2,0,N/A,2:00 PM
Dark Passage,İstanbul Wildcats,2,1,N/A,12:00 PM
Crew Esports,Anatolia Esports,0,2,N/A,10:00 AM
Team SHIFT,MiTH.Attitude,2,1,N/A,8:00 AM
Sharper Esport,DreamSeller,10,13,N/A,8:00 AM
Digital Athletics,Sangal Esports,1,2,N/A,8:00 AM
Velocity Gaming,Global Esports,2,0,N/A,8:00 AM
Team SMG,DivisionX Gaming,13,5,N/A,6:45 AM
MiTH.Attitude,Team SHIFT,10,13,N/A,5:30 AM
DreamSeller,ahq e-Sports Club,1,2,N/A,5:00 AM
XTZ Esports,GodLike Esports,0,2,N/A,4:30 AM
FUT Esports,Oxygen Esports,2,1,N/A,4:00 AM
Attack All Around,NXL LIGAGAME,12,12,N/A,3:00 AM
Tek Gaming,Supremacy Gaming,2,0,N/A,6:30 PM
LDM Esports,TopHard Esports,2,0,N/A,5:30 PM
Furious Gaming,Aion Esports,2,1,N/A,3:00 PM
Arctic,Team Queso,2,0,N/A,2:00 PM
need more DM,iPon Esport,3,0,N/A,10:00 AM
Ah yeah gaming,GodLike Esports,0,2,N/A,8:30 AM
Team SHIFT,DreamSeller,2,0,N/A,8:00 AM
MiTH.Attitude,ahq e-Sports Club,0,2,N/A,5:00 AM
XTZ Esports,AtmosFear,2,0,N/A,4:30 AM
ehehxd,FTW Esports,1,2,N/A,2:00 PM
Team Up,iPon Esport,0,3,N/A,10:00 AM
GodLike Esports,ChillinWithFriends,2,0,N/A,8:30 AM
DreamSeller,MiTH.Attitude,0,2,N/A,8:00 AM
ahq e-Sports Club,Team SHIFT,0,2,N/A,5:00 AM
Reckoning Esports,AtmosFear,0,2,N/A,4:30 AM
Envy,Renegades,2,0,N/A,7:10 PM
Gen.G,Dignitas,2,1,N/A,6:15 PM
XSET,Equinox Esports,2,0,N/A,6:00 PM
Mythicals,Renegades,0,2,N/A,5:20 PM
Envy,T1,2,0,N/A,3:00 PM
Gen.G,XSET,2,1,N/A,2:30 PM
Equinox Esports,Dignitas,0,2,N/A,2:30 PM
Cave Canem,DfuseTeam,0,2,N/A,2:00 PM
Mustang Gaming,One Shot Esports,0,2,N/A,2:00 PM
Yendez,Arbalest,0,2,N/A,1:00 PM
Oxygen Esports,TooManyQuestions,0,2,N/A,12:45 PM
Exality,Fox Gaming,0,2,N/A,12:30 PM
Gen.G,Built By Gamers,0,0,N/A,12:00 PM
Knights,XSET,1,2,N/A,12:00 PM
Equinox Esports,ex-Serenity,2,0,N/A,12:00 PM
Rise,Dignitas,0,2,N/A,12:00 PM
DfuseTeam,ROG Esport,2,0,N/A,12:00 PM
FTW Esports,Arctic,0,2,N/A,12:00 PM
TooManyQuestions,Dontcare,13,9,N/A,11:45 AM
BIG,Arbalest,6,13,N/A,11:45 AM
Yendez,SPARX ESPORTS,13,5,N/A,11:15 AM
Cave Canem,keepYOURskill,2,1,N/A,9:00 AM
Sneaker Daily Meloner,NXL LIGAGAME,0,0,N/A,8:00 AM
Boss Gold,Team Solace,2,0,N/A,6:00 AM
Team 600,InnerVoice,8,13,N/A,6:00 AM
NongWaen,Team SMG,0,2,N/A,5:00 AM
Absolute JUPITER,FAV gaming,2,0,N/A,4:10 AM
ZaPs Clan,FFQ,3,13,N/A,2:00 AM
SCARZ,FAV gaming,1,2,N/A,1:00 AM
Team SMG,Reality Rift,1,2,N/A,12:00 AM
JustLose,Reality Rift,7,13,N/A,11:00 PM
Absolute JUPITER,DetonatioN FocusMe,2,0,N/A,10:45 PM
SCARZ,BlackBird Ignis,13,5,N/A,10:15 PM
REJECT,FAV gaming,0,0,N/A,10:15 PM
FFQ,Reality Rift,5,13,N/A,10:00 PM
Absolute JUPITER,Crazy Raccoon,13,10,N/A,9:15 PM
DetonatioN FocusMe,BLUE BEES.ESP,13,2,N/A,9:15 PM
JMNY6,FFQ,9,13,N/A,9:00 PM
Reality Rift,InnerVoice,13,9,N/A,9:00 PM
Cloud9,T1,8,13,N/A,6:15 PM
Renegades,Complexity,13,9,N/A,5:00 PM
Mythicals,Cloud9 White,13,3,N/A,4:15 PM
Gen.G,Mamba Mode Gaming,2,0,N/A,4:15 PM
Built By Gamers,Time In,2,0,N/A,4:15 PM
Knights,Ranked Stars,2,0,N/A,4:15 PM
XSET,Demon Time,2,1,N/A,4:15 PM
Equinox Esports,Big Frames,2,0,N/A,4:15 PM
ex-Serenity,seeker,2,0,N/A,4:15 PM
Rise,beastcoast,2,1,N/A,4:15 PM
Dignitas,NRG Esports,2,0,N/A,4:15 PM
keepYOURskill,Megastitut,13,3,N/A,4:00 PM
Megastitut,MoneyTime,13,10,N/A,3:00 PM
Envy,FaZe Clan,13,7,N/A,3:00 PM
Time In,Archons,10,13,N/A,2:30 PM
Gen.G,Prospects,13,5,N/A,2:30 PM
Spot Up,seeker,7,13,N/A,2:30 PM
Equinox Esports,Sakura Storm,13,10,N/A,2:30 PM
Rise,NRG Esports,14,12,N/A,2:30 PM
Serenity,303 Esports,13,7,N/A,2:30 PM
Demon Time,Grind City,13,4,N/A,2:30 PM
Knights,Divine,13,2,N/A,2:30 PM
Mamba Mode Gaming,Rugratz,13,11,N/A,2:30 PM
Built By Gamers,Sk8tr Boyz,13,7,N/A,2:30 PM
XSET,Ranked Stars,13,9,N/A,2:30 PM
Elevate,Sedated,13,10,N/A,2:30 PM
beastcoast,Pyronic,13,6,N/A,2:30 PM
Dignitas,Carpe Noctem,13,10,N/A,2:30 PM
Moon Raccoons,Phoenix1,16,14,N/A,2:30 PM
ex-Serenity,Big Frames,13,10,N/A,2:30 PM
DfuseTeam,keepYOURskill,13,10,N/A,1:45 PM
Gen.G,Time In,11,13,N/A,1:15 PM
Prospects,Archons,13,5,N/A,1:15 PM
Equinox Esports,seeker,13,8,N/A,1:15 PM
Spot Up,Sakura Storm,12,14,N/A,1:15 PM
NRG Esports,303 Esports,13,4,N/A,1:15 PM
Rise,Serenity,13,8,N/A,1:15 PM
Grind City,Divine,10,13,N/A,1:15 PM
Mamba Mode Gaming,Sk8tr Boyz,13,9,N/A,1:15 PM
Built By Gamers,Rugratz,13,9,N/A,1:15 PM
Elevate,Ranked Stars,7,13,N/A,1:15 PM
XSET,Sedated,15,13,N/A,1:15 PM
beastcoast,Carpe Noctem,13,9,N/A,1:15 PM
Dignitas,Pyronic,10,13,N/A,1:15 PM
ex-Serenity,Phoenix1,13,3,N/A,1:15 PM
Moon Raccoons,Big Frames,7,13,N/A,1:15 PM
Demon Time,Knights,2,13,N/A,1:15 PM
DfuseTeam,MoneyTime,13,1,N/A,1:00 PM
FTW Esports,Gamerbots,2,0,N/A,12:30 PM
Arctic,Eazy One Gaming,2,0,N/A,12:30 PM
CrowСrowd,GMT Esports,2,0,N/A,12:30 PM
Pingu Gang,Inside Games,0,2,N/A,12:30 PM
keepYOURskill,Megastitut,13,2,N/A,12:00 PM
Gen.G,Archons,13,3,N/A,12:00 PM
Time In,Prospects,13,11,N/A,12:00 PM
Sakura Storm,seeker,12,14,N/A,12:00 PM
Equinox Esports,Spot Up,13,5,N/A,12:00 PM
Rise,303 Esports,13,3,N/A,12:00 PM
NRG Esports,Serenity,13,8,N/A,12:00 PM
Demon Time,Divine,13,9,N/A,12:00 PM
Knights,Grind City,13,3,N/A,12:00 PM
Built By Gamers,Mamba Mode Gaming,13,11,N/A,12:00 PM
Rugratz,Sk8tr Boyz,13,15,N/A,12:00 PM
Sedated,Ranked Stars,15,13,N/A,12:00 PM
XSET,Elevate,13,4,N/A,12:00 PM
Carpe Noctem,Pyronic,13,6,N/A,12:00 PM
Dignitas,beastcoast,13,6,N/A,12:00 PM
Moon Raccoons,ex-Serenity,7,13,N/A,12:00 PM
Big Frames,Phoenix1,13,8,N/A,12:00 PM
lil pamp esports,CrowСrowd,4,13,N/A,11:30 AM
fostercare,GMT Esports,9,13,N/A,11:30 AM
Pingu Gang,Tarren Mill,13,8,N/A,11:30 AM
Lankräm,Inside Games,11,13,N/A,11:30 AM
FTW Esports,PHARAONS,2,0,N/A,10:00 AM
doneVAL,Gamerbots,0,2,N/A,10:00 AM
Arctic,Grow uP eSports,2,0,N/A,10:00 AM
Eazy One Gaming,Furore Draco,2,0,N/A,10:00 AM
lil pamp esports,Elan,0,0,N/A,10:00 AM
Vengeance,CrowСrowd,4,13,N/A,10:00 AM
fostercare,TooManyQuestions,14,12,N/A,10:00 AM
GMT Esports,gosu,0,0,N/A,10:00 AM
Aspire,Tarren Mill,12,14,N/A,10:00 AM
Lankräm,komand04ka,13,6,N/A,10:00 AM
Prophecy ESC,Inside Games,7,13,N/A,10:00 AM
Sneaker Daily Meloner,NongWaen,0,2,N/A,9:00 AM
NXL LIGAGAME,Team SMG,1,2,N/A,6:00 AM
Todak,InnerVoice,2,0,N/A,6:00 AM
Kingsmen,EZPZ,2,0,N/A,6:00 AM
JustLose,Team SMG,9,13,N/A,5:00 AM
b Tang,Team 600,11,13,N/A,5:00 AM
Smooth Criminals,Team 600,0,0,N/A,4:00 AM
InnerVoice,Team LZ,13,8,N/A,4:00 AM
Reality Rift,JustLose,11,13,N/A,3:30 AM
Team SMG,JMNY6,13,9,N/A,3:30 AM
Team 600,JustLose,1,13,N/A,2:15 AM
Excelsa,JMNY6,13,9,N/A,1:43 AM
BananaBoys,Team SMG,5,13,N/A,1:40 AM
JustLose,Reality Rift,6,13,N/A,1:15 AM
FTG Esports,ZaPs Clan,9,13,N/A,1:00 AM
Celeste,FFQ,7,13,N/A,1:00 AM
Excelsa,Team SMG,1,13,N/A,12:52 AM
JMNY6,BananaBoys,13,4,N/A,12:50 AM
Inertia,ZaPs Clan,8,13,N/A,12:00 AM
Kantic Gaming,FFQ,6,13,N/A,12:00 AM
Reality Rift,Team 600,13,8,N/A,12:00 AM
Team 600,InnerVoice,0,0,N/A,12:00 AM
Reality Rift,InnerVoice,0,0,N/A,12:00 AM
InnerVoice,JustLose,7,13,N/A,11:50 PM
Team SMG,JMNY6,13,7,N/A,11:47 PM
BananaBoys,Excelsa,9,13,N/A,11:35 PM
Celeste,Reality Rift,3,13,N/A,11:00 PM
InnerVoice,Team SMG,11,13,N/A,11:00 PM
Inertia,Relep,0,0,N/A,11:00 PM
ZaPs Clan,TheDuckArmy,13,11,N/A,11:00 PM
Kantic Gaming,NOX,13,10,N/A,11:00 PM
FFQ,NXL LIGAGAME,0,0,N/A,11:00 PM
Underdogs,Smooth Criminals,0,0,N/A,11:00 PM
Big Brain,Team 600,2,13,N/A,11:00 PM
Team LZ,Kaster Onez,13,2,N/A,11:00 PM
7sins,Celeste,0,0,N/A,10:00 PM
Team LZ,Reality Rift,3,13,N/A,10:00 PM
Big Brain,JustLose,3,13,N/A,10:00 PM
InnerVoice,FFQ,14,12,N/A,10:00 PM
Kantic Gaming,Team SMG,4,13,N/A,10:00 PM
ZaPs Clan,JMNY6,3,13,N/A,10:00 PM
b Tang,Inertia,13,7,N/A,10:00 PM
Underdogs,FTG Esports,0,0,N/A,10:00 PM
JustLose,FTG Esports,13,3,N/A,10:00 PM
JMNY6,b Tang,13,10,N/A,10:00 PM
HACKJR,TheDuckArmy,3,13,N/A,10:00 PM
Team Max,Team 600,8,13,N/A,10:00 PM
Hydra Eternal,Sommium Esports,0,0,N/A,10:00 PM
Reality Rift,TheDuckArmy,13,3,N/A,9:00 PM
JMNY6,Kaster Onez,13,1,N/A,9:00 PM
Team SMG,Team 600,14,12,N/A,9:00 PM
Celeste,Relep,0,0,N/A,9:00 PM
HACKJR,Team LZ,1,13,N/A,9:00 PM
JustLose,NOX,13,5,N/A,9:00 PM
NXL LIGAGAME,FTG Esports,0,0,N/A,9:00 PM
FFQ,Smooth Criminals,13,11,N/A,9:00 PM
Team Max,Kantic Gaming,8,13,N/A,9:00 PM
Hydra Eternal,b Tang,0,0,N/A,9:00 PM
Inertia,Sommium Esports,0,0,N/A,9:00 PM
LDM Esports,INFINITY,0,3,N/A,5:00 PM
ROG Esport,Miracles,13,5,N/A,4:15 PM
Miracles,TIMETOPLAY,13,5,N/A,3:15 PM
Cave Canem,ROG Esport,13,5,N/A,2:15 PM
ROG Esport,TIMETOPLAY,13,8,N/A,1:30 PM
Anatolia Esports,Zero Zone,2,1,N/A,12:00 PM
Cave Canem,Miracles,15,13,N/A,12:00 PM
Zero Zone,Mod-Z,13,6,N/A,11:00 AM
Anatolia Esports,Digital Athletics,4,13,N/A,10:00 AM
OtherSide,illusioń!,1,2,N/A,10:00 AM
Anatolia Esports,Zero Zone,15,13,N/A,9:00 AM
Mod-Z,Digital Athletics,10,13,N/A,9:00 AM
NongWaen,NXL LIGAGAME,0,0,N/A,8:30 AM
Team SMG,NXL LIGAGAME,0,0,N/A,6:45 AM
MiTH.Attitude,DivisionX Gaming,12,12,N/A,5:30 AM
Team SMG,Sneaker Daily Meloner,2,0,N/A,5:00 AM
Attack All Around,DreamSeller,13,6,N/A,4:15 AM
Attack All Around,Team SHIFT,4,13,N/A,3:00 AM
INFINITY,Tek Gaming,2,1,N/A,10:00 PM
Boss Gold,Kingsmen,0,2,N/A,10:00 PM
EZPZ,Las Venturas,0,0,N/A,10:00 PM
LDM Esports,MeT,2,0,N/A,7:00 PM
REPLY TOTEM,illusioń!,1,2,N/A,1:20 PM
Sangal Esports,RARE Esports,2,1,N/A,12:00 PM
RARE Esports,Beşiktaş Esports,13,11,N/A,11:15 AM
Sangal Esports,Crew Esports,10,13,N/A,10:10 AM
PffxD,OtherSide,1,2,N/A,10:00 AM
Sangal Esports,RARE Esports,13,9,N/A,9:00 AM
Beşiktaş Esports,Crew Esports,14,16,N/A,9:00 AM
XTZ Esports,Villainous,2,1,N/A,8:30 AM
Slay Them With Respect,Global Esports,0,2,N/A,8:30 AM
DivisionX Gaming,Bren Esports,0,2,N/A,8:00 AM
Team SMG,DreamSeller,13,8,N/A,6:45 AM
Attack All Around,MiTH.Attitude,2,1,N/A,6:00 AM
Sharper Esport,Team SHIFT,12,12,N/A,5:30 AM
X10 Esports,Global Esports,2,0,N/A,5:00 AM
MiTH.Attitude,ahq e-Sports Club,13,4,N/A,5:00 AM
DivisionX Gaming,Sharper Esport,13,8,N/A,4:15 AM
Attack All Around,Five Ace Esports,13,10,N/A,4:00 AM
MiTH.Attitude,NXL LIGAGAME,4,13,N/A,3:00 AM
Kingsmen,Team Solace,2,0,N/A,10:00 PM
EZPZ,Lightailty,2,1,N/A,10:00 PM
LDM Esports,Chivas Esports,2,0,N/A,8:00 PM
Arctic Gaming Mexico,MeT,0,2,N/A,6:00 PM
Anubis Gaming,Team RA'AD,3,0,N/A,12:30 PM
Oxygen Esports,ANKA E-Sports,2,0,N/A,12:00 PM
Steel Tactics,ANKA E-Sports,8,13,N/A,11:00 AM
Oxygen Esports,Dark Passage,5,13,N/A,10:00 AM
Oxygen Esports,Steel Tactics,13,6,N/A,9:00 AM
Dark Passage,ANKA E-Sports,13,7,N/A,9:00 AM
DivisionX Gaming,X10 Esports,0,2,N/A,8:00 AM
Velocity Gaming,tryouts,2,0,N/A,7:30 AM
MiTH.Attitude,Five Ace Esports,13,12,N/A,7:00 AM
MiTH.Attitude,REJECT,13,9,N/A,6:00 AM
Bren Esports,Global Esports,2,0,N/A,5:00 AM
Five Ace Esports,REJECT,13,6,N/A,5:00 AM
Ah yeah gaming,GodLike Esports,2,0,N/A,4:30 AM
Kaizen Esports,Chivas Esports,2,0,N/A,8:00 PM
Tek Gaming,LDM Esports,1,1,N/A,6:00 PM
OtherSide,İstanbul Wildcats,1,2,N/A,1:00 PM
need more DM,Team Up,2,0,N/A,1:00 PM
Team RA'AD,Cairo City G'zzz,2,1,N/A,1:00 PM
FUT Esports,OtherSide,13,7,N/A,12:05 PM
Thatoc Esports,İstanbul Wildcats,4,13,N/A,12:00 PM
İstanbul Wildcats,OtherSide,11,13,N/A,11:00 AM
FUT Esports,Thatoc Esports,13,10,N/A,10:00 AM
iPon Esport,Necrotic Esports,2,1,N/A,10:00 AM
X10 Esports,Bren Esports,2,1,N/A,8:30 AM
Global Esports,DivisionX Gaming,2,0,N/A,5:00 AM
ahq e-Sports Club,Attack All Around,1,2,N/A,5:00 AM
Kaizen Esports,LDM Esports,0,2,N/A,7:00 PM
Chivas Esports,Tek Gaming,0,2,N/A,7:00 PM
Arctic Gaming Mexico,INFINITY,0,2,N/A,6:00 PM
Cairo City G'zzz,UnSigned,2,1,N/A,2:15 PM
Team Up,iPon Esport,2,0,N/A,12:00 PM
Anubis Gaming,Team RA'AD,2,0,N/A,11:30 AM
Necrotic Esports,need more DM,0,2,N/A,10:00 AM
Sentinels,FaZe Clan,2,0,N/A,8:10 PM
Gen.G,FaZe Clan,0,2,N/A,6:10 PM
100 Thieves,Sentinels,1,2,N/A,3:00 PM
UnSigned,NOT SNP,2,0,N/A,1:00 PM
Team Heretics,Movistar Riders,2,0,N/A,12:40 PM
Italian Hope,Swag Silicone,2,0,N/A,12:30 PM
Swag Silicone,thunderPEEK,13,8,N/A,11:20 AM
Movistar Riders,B7 Warriors,2,0,N/A,10:30 AM
REPLY TOTEM,Italian Hope,9,13,N/A,10:30 AM
Cairo City G'zzz,Lethal Grinders,2,0,N/A,10:00 AM
VISU Gaming,Wave Esports,1,3,N/A,9:00 AM
B7 Warriors,Wygers,2,1,N/A,7:00 AM
Overtime Esports,Alter Ego,0,3,N/A,5:00 AM
Bren Esports,XcN Gaming,2,0,N/A,4:30 AM
B Beasts,InnerVoice,7,13,N/A,3:15 AM
InnerVoice,Velocity Gaming,5,13,N/A,2:00 AM
Attack All Around,Bren Esports,12,14,N/A,1:00 AM
Velocity Gaming,XcN Gaming,11,13,N/A,1:00 AM
Bren Esports,Velocity Gaming,13,7,N/A,11:45 PM
Velocity Gaming,Attack All Around,13,4,N/A,11:00 PM
B Beasts,XcN Gaming,2,13,N/A,10:10 PM
B Beasts,Attack All Around,4,13,N/A,9:15 PM
XcN Gaming,InnerVoice,13,10,N/A,8:00 PM
Velocity Gaming,B Beasts,13,2,N/A,8:00 PM
Sentinels,Cloud9,13,3,N/A,7:15 PM
Envy,FaZe Clan,10,13,N/A,7:15 PM
TSM,Gen.G,5,13,N/A,7:10 PM
100 Thieves,Time In,13,7,N/A,7:10 PM
Cloud9,Gen.G,6,13,N/A,6:15 PM
100 Thieves,FaZe Clan,13,10,N/A,6:15 PM
Time In,Envy,2,13,N/A,5:15 PM
TSM,Sentinels,1,13,N/A,5:15 PM
FaZe Clan,Time In,13,15,N/A,4:00 PM
TSM,Cloud9,13,9,N/A,4:00 PM
Gen.G,Sentinels,13,10,N/A,3:00 PM
100 Thieves,Envy,13,0,N/A,3:00 PM
NerdTown eSport,BIG,1,2,N/A,1:30 PM
eSuba,Wave Esports,0,2,N/A,1:30 PM
Cream Real Betis,B7 Warriors,1,2,N/A,1:00 PM
Team Queso,Wygers,0,2,N/A,1:00 PM
Movistar Riders,Team Heretics,0,2,N/A,1:00 PM
Cream Real Betis,Team Heretics,4,13,N/A,12:00 PM
Team Singularity,Team Influencer,1,2,N/A,12:00 PM
Anubis Gaming,UnSigned,2,0,N/A,12:00 PM
Cairo City G'zzz,Team RA'AD,1,2,N/A,12:00 PM
Team Mixwell,Team ScreaM,2,0,N/A,11:50 AM
NerdTown eSport,Dreamwalker,2,1,N/A,11:30 AM
Wave Esports,SPARX ESPORTS,2,0,N/A,11:30 AM
B7 Warriors,UCAM Esports Club,13,11,N/A,11:00 AM
Wygers,FTW Esports,13,6,N/A,11:00 AM
Movistar Riders,Team Queso,13,10,N/A,11:00 AM
Yes mies,Nasty Ninjas,13,6,N/A,11:00 AM
Pepeggas,TooManyQuestions,3,13,N/A,11:00 AM
Jeremiah,bTitans,13,1,N/A,11:00 AM
Dirty boys,Ferrari Peek,6,13,N/A,11:00 AM
123TAP,corgi,13,4,N/A,11:00 AM
MAJSTERSZTYK,Šnečí nožičky,14,12,N/A,11:00 AM
Arbalest,VIIIJNIIIIIIIIIIIIIIIIII,13,6,N/A,11:00 AM
Team gob b,Team Happy,2,0,N/A,10:30 AM
Team Heretics,FTW Esports,13,1,N/A,10:00 AM
Team ScreaM,Team Happy,13,0,N/A,9:30 AM
Cream Real Betis,Wygers,13,4,N/A,9:15 AM
BIG,Wave Esports,2,0,N/A,9:00 AM
VISU Gaming,eSuba,2,0,N/A,8:20 AM
UCAM Esports Club,Team Queso,11,13,N/A,8:10 AM
Team gob b,Team Mixwell,12,14,N/A,8:00 AM
Alter Ego,Bren Esports,2,0,N/A,7:30 AM
B7 Warriors,Movistar Riders,12,14,N/A,7:00 AM
Attack All Around,Overtime Esports,0,2,N/A,5:00 AM
Boss Gold,Todak,0,2,N/A,10:00 PM
Las Venturas,InnerVoice,0,2,N/A,10:00 PM
LDM Esports,INFINITY,2,1,N/A,6:00 PM
Team ardiis,Team AsLanM4shadoW,2,0,N/A,5:30 PM
Team Fearoth,Team AsLanM4shadoW,9,13,N/A,4:30 PM
Team AsLanM4shadoW,Team Davidp,13,9,N/A,3:45 PM
Team AzoX,Team AsLanM4shadoW,3,13,N/A,3:00 PM
Team Davidp,Team cNed,13,11,N/A,2:50 PM
SPARX ESPORTS,eSuba,0,2,N/A,2:00 PM
Team Fearoth,Team ardiis,7,13,N/A,2:00 PM
Team AsLanM4shadoW,Team vakk,13,8,N/A,2:00 PM
Team cNed,Team RosieRiver,13,2,N/A,2:00 PM
Wave Esports,RainbowMind,13,8,N/A,1:45 PM
Dreamwalker,Kakaopulver,13,1,N/A,1:00 PM
Team AzoX,Team Fearoth,9,13,N/A,1:00 PM
Team Davidp,Team ardiis,14,16,N/A,1:00 PM
Team AsLanM4shadoW,Team HyP,13,6,N/A,1:00 PM
Team vakk,Team ONSCREEN,13,8,N/A,1:00 PM
Team cNed,Team nookyyy,13,3,N/A,1:00 PM
Team Maikelele,Team RosieRiver,11,13,N/A,1:00 PM
NOT SNP,Borderline,2,0,N/A,1:00 PM
BIG,PENTA,13,6,N/A,12:00 PM
Team Maikelele,Team AzoX,3,13,N/A,12:00 PM
Team Fearoth,Team cNed,13,7,N/A,12:00 PM
Team vakk,Team Davidp,7,13,N/A,12:00 PM
Team ardiis,Team AsLanM4shadoW,13,11,N/A,12:00 PM
Team pipsoN,Team HyP,15,17,N/A,12:00 PM
PffxD,ehehxd,14,12,N/A,12:00 PM
Helios Gaming,OtherSide,8,13,N/A,12:00 PM
doneVAL,REPLY TOTEM,8,13,N/A,12:00 PM
Lethal Grinders,Elite,2,0,N/A,11:30 AM
SPARX ESPORTS,NerdTown eSport,8,13,N/A,11:00 AM
Wave Esports,VISU Gaming,0,2,N/A,11:00 AM
Team Singularity,Team Queso,2,0,N/A,10:00 AM
Todak,Overtime Esports,1,2,N/A,6:00 AM
InnerVoice,Lightailty,0,0,N/A,6:00 AM
Las Venturas,EZPZ,2,0,N/A,6:00 AM
Team SMG,Bren Esports,0,2,N/A,3:30 AM
ahq e-Sports Club,Alter Ego,0,2,N/A,1:10 AM
ArkAngel,Attack All Around,1,2,N/A,10:00 PM
NOT SNP,Team RA'AD,0,1,N/A,3:11 PM
need more DM,Team Heretics,1,2,N/A,3:00 PM
TopHard Esports,INFINITY,0,2,N/A,3:00 PM
Borderline,Cairo City G'zzz,0,2,N/A,1:17 PM
Team Heretics,ex-Giants Gaming,2,0,N/A,1:00 PM
Anubis Gaming,Elite,2,0,N/A,11:57 AM
UnSigned,Lethal Grinders,2,0,N/A,11:57 AM
need more DM,Finest,2,0,N/A,11:00 AM
Kingsmen,Todak,1,2,N/A,6:00 AM
FAV gaming,Crazy Raccoon,2,1,N/A,5:00 AM
MeT,TopHard Esports,1,1,N/A,4:30 PM
UCAM Esports Club,ex-Giants Gaming,0,2,N/A,3:10 PM
INFINITY,MeT,1,1,N/A,2:00 PM
Team Heretics,Wygers,2,0,N/A,1:45 PM
Movistar Riders,Finest,0,2,N/A,11:45 AM
Axsor,need more DM,1,2,N/A,9:00 AM
Crazy Raccoon,Novagis Gaming,2,1,N/A,7:00 AM
Nester,FAV gaming,0,2,N/A,4:00 AM
TopHard Esports,Arctic Gaming Mexico,0,2,N/A,9:30 PM
Tek Gaming,Kaizen Esports,1,1,N/A,7:30 PM
FTW Esports,Eazy One Gaming,2,1,N/A,3:00 PM
Team White,Team Queso,1,2,N/A,12:00 PM
Nester,DetonatioN FocusMe,0,0,N/A,5:30 AM
BlackBird Ignis,FAV gaming,0,2,N/A,5:30 AM
SCARZ,Crazy Raccoon,0,2,N/A,5:30 AM
Sengoku Gaming,Novagis Gaming,1,2,N/A,5:30 AM
Nester,AVALON Gaming,13,0,N/A,4:00 AM
BlackBird Ignis,SunSister Rapid,13,5,N/A,4:00 AM
FAV gaming,Connect Gaming,13,11,N/A,4:00 AM
Relaxedly,SCARZ,6,13,N/A,4:00 AM
LAG Gaming,Sengoku Gaming,3,13,N/A,4:00 AM
CREST GAMING Zst,Novagis Gaming,6,13,N/A,4:00 AM
Entropiq Bravo,Team Sampi,2,0,N/A,3:00 PM
Movistar Riders,Grow uP eSports,2,0,N/A,2:00 PM
Entropiq Bravo,Květinky,13,4,N/A,2:00 PM
Team Sampi,Inside Games,13,7,N/A,2:00 PM
Entropiq Bravo,Kamil Klein new chapter,13,7,N/A,1:00 PM
eSuba,Květinky,13,15,N/A,1:00 PM
Enterprise Esports,Team Sampi,4,13,N/A,1:00 PM
Inside Games,Winfinity,13,8,N/A,1:00 PM
Wygers,doneVAL,2,0,N/A,12:00 PM
E-Xolos LAZER,INFINITY,3,1,N/A,6:00 PM
TSM,100 Thieves,1,3,N/A,3:15 PM
Gamelanders Blue,paiN Gaming,3,1,N/A,2:00 PM
DfuseTeam,HSDIRR,2,1,N/A,1:00 PM
